experiment,model,feature_set,target_transform,validation_split,MAE,RMSE,R2,MAPE,training_time_seconds,param_max_depth,param_learning_rate,param_max_iter,param_random_state
feature_set,histgb,C,normal,primary,128.12730060680704,633.4720846321385,0.8276877765504801,5.985043570371962,0.296,8,0.08,300,42
feature_set,histgb,C,normal,sensitivity,129.49357101770292,650.4313123701895,0.8189327638875804,6.5432578765047404,0.324,8,0.08,300,42
feature_set,histgb,C2,normal,primary,128.12730060680704,633.4720846321385,0.8276877765504801,5.985043570371962,0.304,8,0.08,300,42
feature_set,histgb,C2,normal,sensitivity,129.49357101770292,650.4313123701895,0.8189327638875804,6.5432578765047404,0.316,8,0.08,300,42
feature_set,histgb,C3,normal,primary,128.71412867379928,632.961556974235,0.8279654042772782,6.223377561787346,0.282,8,0.08,300,42
feature_set,histgb,C3,normal,sensitivity,129.254686006281,648.9771985805555,0.8197414520603121,6.39773787360518,0.33,8,0.08,300,42
feature_set,histgb,C4,normal,primary,128.71412867379928,632.961556974235,0.8279654042772782,6.223377561787346,0.29,8,0.08,300,42
feature_set,histgb,C4,normal,sensitivity,129.254686006281,648.9771985805555,0.8197414520603121,6.39773787360518,0.334,8,0.08,300,42
feature_set,histgb,E,normal,primary,135.11304524340008,635.0730086598,0.8268157338400087,6.185462507035609,0.354,8,0.08,300,42
feature_set,histgb,E,normal,sensitivity,138.7996427996442,653.4312051820591,0.8172586903570882,6.965183523278679,0.409,8,0.08,300,42
feature_set,histgb,R,normal,primary,129.02804927518628,633.9907767631386,0.8274054797047152,6.029692006746233,27.227,8,0.08,300,42
feature_set,histgb,R,normal,sensitivity,130.98295084928975,652.3147017823502,0.8178826488702267,6.7451778962738835,26.042,8,0.08,300,42
feature_set,histgb,G,normal,primary,127.43500445993863,633.7684159182645,0.8275265273114552,6.040506481964067,25.446,8,0.08,300,42
feature_set,histgb,G,normal,sensitivity,127.61960668382544,652.545269500013,0.8177538834051516,6.589302802174942,26.617,8,0.08,300,42
feature_set,histgb,M,normal,primary,152.57966871612322,646.1062977668332,0.8207459106992071,6.620620633293433,0.344,8,0.08,300,42
feature_set,histgb,M,normal,sensitivity,138.11113001038956,656.1482958704522,0.8157357847206395,6.4524155962742675,0.402,8,0.08,300,42
feature_set,histgb,Q,normal,primary,118.94773439232291,632.029615829459,0.8284716217187921,5.5719489228631405,0.335,8,0.08,300,42
feature_set,histgb,Q,normal,sensitivity,123.91312150627193,650.6393158192922,0.8188169372628903,6.176965000712518,0.373,8,0.08,300,42
feature_set,histgb,MC,normal,primary,136.714323218527,636.8946120311219,0.8258208073346123,6.187174269664659,0.338,8,0.08,300,42
feature_set,histgb,MC,normal,sensitivity,146.58773753551003,654.453382293914,0.8166865104990176,7.523429891813782,0.372,8,0.08,300,42
feature_set,histgb,FULL,normal,primary,129.6948776112223,633.680215715834,0.8275745295037341,6.010494587998357,27.328,8,0.08,300,42
feature_set,histgb,FULL,normal,sensitivity,151.9931450540653,659.0305607437011,0.8141133930843125,7.068365067386126,30.567,8,0.08,300,42
