experiment,model,feature_set,target_transform,validation_split_primary,MAE_primary,RMSE_primary,R2_primary,MAPE_primary,training_time_seconds_primary,param_max_depth_primary,param_learning_rate_primary,param_max_iter_primary,param_random_state_primary,param_max_leaf_nodes_primary,param_min_samples_leaf_primary,param_l2_regularization_primary,validation_split_sensitivity,MAE_sensitivity,RMSE_sensitivity,R2_sensitivity,MAPE_sensitivity,training_time_seconds_sensitivity,param_max_depth_sensitivity,param_learning_rate_sensitivity,param_max_iter_sensitivity,param_random_state_sensitivity,param_max_leaf_nodes_sensitivity,param_min_samples_leaf_sensitivity,param_l2_regularization_sensitivity,stability_gap,combined_score
histgb_tuning,histgb,C4,normal,primary,128.92568767198628,634.0284645629728,0.8273849592135374,6.190178244047601,0.328,8.0,0.08,300.0,42.0,,,0.1,sensitivity,127.95089938780407,650.1231312054646,0.8191043063425251,6.341007148028828,0.341,6.0,0.08,300.0,42.0,,,,-0.9747882841822104,128.92568767198628
feature_set,histgb,C3,normal,primary,128.71412867379928,632.961556974235,0.8279654042772782,6.223377561787346,0.282,8.0,0.08,300.0,42.0,,,,sensitivity,129.254686006281,648.9771985805555,0.8197414520603121,6.39773787360518,0.33,8.0,0.08,300.0,42.0,,,,0.5405573324817112,128.98440734004015
feature_set,histgb,C4,normal,primary,128.71412867379928,632.961556974235,0.8279654042772782,6.223377561787346,0.29,8.0,0.08,300.0,42.0,,,,sensitivity,129.254686006281,648.9771985805555,0.8197414520603121,6.39773787360518,0.334,8.0,0.08,300.0,42.0,,,,0.5405573324817112,128.98440734004015
feature_set,histgb,R,normal,primary,129.02804927518628,633.9907767631386,0.8274054797047152,6.029692006746233,27.227,8.0,0.08,300.0,42.0,,,,sensitivity,130.98295084928975,652.3147017823502,0.8178826488702267,6.7451778962738835,26.042,8.0,0.08,300.0,42.0,,,,1.9549015741034736,130.005500062238
histgb_tuning,histgb,C4,normal,primary,133.70784284288194,634.8346145917886,0.8269457294536229,6.127967768637956,0.424,8.0,0.08,300.0,42.0,63.0,,,sensitivity,127.95089938780407,650.1231312054646,0.8191043063425251,6.341007148028828,0.341,6.0,0.08,300.0,42.0,,,,-5.756943455077874,133.70784284288194
histgb_tuning,histgb,C4,normal,primary,133.70784284288194,634.8346145917886,0.8269457294536229,6.127967768637956,0.424,8.0,0.08,300.0,42.0,63.0,,,sensitivity,127.4381113120936,650.0733080917773,0.8191320316792319,6.291009102870583,0.356,6.0,0.08,300.0,42.0,,,0.1,-6.2697315307883486,133.70784284288194
histgb_tuning,histgb,C4,normal,primary,133.70784284288194,634.8346145917886,0.8269457294536229,6.127967768637956,0.424,8.0,0.08,300.0,42.0,63.0,,,sensitivity,128.12821624581315,649.181232311435,0.8196280902792281,6.27350868797164,0.367,8.0,0.08,300.0,42.0,,50.0,,-5.5796265970687955,133.70784284288194
feature_set,histgb,E,normal,primary,135.11304524340008,635.0730086598,0.8268157338400087,6.185462507035609,0.354,8.0,0.08,300.0,42.0,,,,sensitivity,138.7996427996442,653.4312051820591,0.8172586903570882,6.965183523278679,0.409,8.0,0.08,300.0,42.0,,,,3.6865975562441236,136.95634402152214
market_index,histgb,C_MI_Q,normal,primary,138.19145261395457,641.0411054336346,0.8235454421390852,6.23552804988344,0.324,,,,,,,,sensitivity,134.00122200105062,656.2528549981706,0.8156770539708158,6.427310585944275,0.376,,,,,,,,-4.190230612903946,138.19145261395457
feature_set,histgb,FULL,normal,primary,129.6948776112223,633.680215715834,0.8275745295037341,6.010494587998357,27.328,8.0,0.08,300.0,42.0,,,,sensitivity,151.9931450540653,659.0305607437011,0.8141133930843125,7.068365067386126,30.567,8.0,0.08,300.0,42.0,,,,22.298267442843013,140.8440113326438
log_target,histgb,FULL,normal,primary,129.6948776112223,633.680215715834,0.8275745295037341,6.010494587998357,28.65,8.0,0.08,300.0,42.0,,,,sensitivity,151.9931450540653,659.0305607437011,0.8141133930843125,7.068365067386126,32.815,8.0,0.08,300.0,42.0,,,,22.298267442843013,140.8440113326438
feature_set,histgb,MC,normal,primary,136.714323218527,636.8946120311219,0.8258208073346123,6.187174269664659,0.338,8.0,0.08,300.0,42.0,,,,sensitivity,146.58773753551003,654.453382293914,0.8166865104990176,7.523429891813782,0.372,8.0,0.08,300.0,42.0,,,,9.87341431698303,141.65103037701851
market_index,histgb,C_Q_CAL,normal,primary,131.99227208067313,634.8754630131239,0.8269234583895637,5.95193665772116,0.417,,,,,,,,sensitivity,152.6510531706145,658.1141903034705,0.8146299778191355,7.378050617394698,0.383,,,,,,,,20.658781089941357,142.3216626256438
market_index,histgb,C_MI_MONTH,normal,primary,142.93566892475064,636.8484079951858,0.8258460783593904,6.724956671704882,0.33,,,,,,,,sensitivity,145.6829178651059,656.3031827265318,0.8156487816035561,7.185366949322298,0.334,,,,,,,,2.747248940355263,144.30929339492826
market_index,histgb,C_MI_CAL,normal,primary,136.91943983777873,637.5988028532298,0.825435427416733,6.317474175242582,0.334,,,,,,,,sensitivity,158.50546222310902,657.0663824355813,0.8152197768189854,7.999634833280245,0.37,,,,,,,,21.586022385330295,147.71245103044387
market_index,histgb,C_MI,normal,primary,151.45654465221025,645.9696868040085,0.8208217046822355,6.70669972065898,0.33,,,,,,,,sensitivity,138.1677849108217,656.4924507316196,0.8155424380129894,6.519170839557228,0.367,,,,,,,,-13.28875974138856,151.45654465221025
feature_set,histgb,M,normal,primary,152.57966871612322,646.1062977668332,0.8207459106992071,6.620620633293433,0.344,8.0,0.08,300.0,42.0,,,,sensitivity,138.11113001038956,656.1482958704522,0.8157357847206395,6.4524155962742675,0.402,8.0,0.08,300.0,42.0,,,,-14.468538705733664,152.57966871612322
