experiment,segment_dimension,segment,count,MAE,mean_actual,mean_predicted,mean_residual,median_abs_error,model,validation_split
histgb_C4_log1p,equipment,Dry Van,5360,117.50134355017134,2281.166074626866,2226.3494688483206,54.81660577854526,43.405799936441326,histgb_C4_log1p,primary
histgb_C4_log1p,equipment,Flatbed,1770,123.19112260662858,2439.9451355932206,2387.6821045789875,52.26303101423306,57.67093765378854,histgb_C4_log1p,primary
histgb_C4_log1p,equipment,Reefer,2393,130.8087876770526,2606.5816590054324,2542.369603639848,64.21205536558506,54.92314973147904,histgb_C4_log1p,primary
histgb_C4_log1p,month,9,4670,118.9643806745202,2406.374012847966,2354.389853162962,51.98415968500336,49.22737676871748,histgb_C4_log1p,primary
histgb_C4_log1p,month,10,4853,124.73052948770423,2379.051374407583,2317.8076087720847,61.24376563549854,47.707483833343986,histgb_C4_log1p,primary
histgb_C4_log1p,weight_status,missing_or_negative,124,111.64377005679671,2392.441451612903,2346.974899516578,45.46655209632549,50.92719202489627,histgb_C4_log1p,primary
histgb_C4_log1p,weight_status,present,9399,122.03820511403289,2392.4502840727737,2335.599111831248,56.85117224152525,48.45450260501639,histgb_C4_log1p,primary
histgb_C4_log1p,market_index_regime,low,3150,109.06157843353982,2352.9895269841268,2326.1333192977845,26.856207686342504,47.310848909288666,histgb_C4_log1p,primary
histgb_C4_log1p,market_index_regime,mid,3150,121.01879720022026,2399.003984126984,2344.4797203122744,54.52426381470978,46.913316254569736,histgb_C4_log1p,primary
histgb_C4_log1p,market_index_regime,high,3150,136.1238955245588,2423.0128349206348,2332.441071908913,90.57176301172235,51.73753804251396,histgb_C4_log1p,primary
histgb_C4_log1p,distance_bucket,0-300,403,36.72770144075699,538.3086848635236,535.1994879732888,3.109196890234805,17.30348572211483,histgb_C4_log1p,sensitivity
histgb_C4_log1p,distance_bucket,300-600,994,68.99970485844393,1091.173601609658,1057.6043140123772,33.56928759728061,28.88072433340875,histgb_C4_log1p,sensitivity
histgb_C4_log1p,distance_bucket,600-1200,1646,106.62704204215989,1939.0228493317131,1893.5456233391394,45.477225992573814,48.21764132951546,histgb_C4_log1p,sensitivity
histgb_C4_log1p,distance_bucket,1200-2000,1041,155.1157997402858,3260.6579923150816,3180.3454140104805,80.31257830460137,66.93640238313174,histgb_C4_log1p,sensitivity
histgb_C4_log1p,distance_bucket,2000+,769,236.9741741557372,4756.820260078023,4626.8369672795125,129.98329279851075,103.50370521090827,histgb_C4_log1p,sensitivity
histgb_C4_log1p,equipment,Dry Van,2745,114.9746132190322,2240.1642404371582,2180.1015103107197,60.06273012643886,44.54958384947463,histgb_C4_log1p,sensitivity
histgb_C4_log1p,equipment,Flatbed,918,123.12489054310564,2429.6794880174293,2390.3261276163234,39.35336040110556,49.32574423233149,histgb_C4_log1p,sensitivity
histgb_C4_log1p,equipment,Reefer,1190,146.19311442176354,2660.3695042016807,2583.0246644251315,77.34483977654901,59.24770548231743,histgb_C4_log1p,sensitivity
histgb_C4_log1p,month,10,4853,124.17139273989552,2379.051374407583,2318.6683250815204,60.38304932606281,49.05646850009907,histgb_C4_log1p,sensitivity
histgb_C4_log1p,weight_status,missing_or_negative,65,93.88837736210623,2307.666307692308,2292.77610946487,14.890198227437855,48.02115584015155,histgb_C4_log1p,sensitivity
histgb_C4_log1p,weight_status,present,4788,124.58250301549208,2380.020469924812,2319.0198275909356,61.000642333876236,49.05842597304917,histgb_C4_log1p,sensitivity
histgb_C4_log1p,market_index_regime,low,1604,111.48811652442707,2296.6775872817957,2268.2026355222,28.47495175959568,45.864475892842506,histgb_C4_log1p,sensitivity
histgb_C4_log1p,market_index_regime,mid,1603,112.37135922951896,2392.5843543356204,2345.4819398792233,47.102414456397625,47.06545627310766,histgb_C4_log1p,sensitivity
histgb_C4_log1p,market_index_regime,high,1604,148.68007855404,2440.173167082294,2332.084931030842,108.08823605145214,54.2474366334493,histgb_C4_log1p,sensitivity
