model,feature_set,validation_split,train_mae,MAE,RMSE,R2,MAPE,train_rows,validation_rows,training_time_seconds,notes
ablation_C,C,primary,142.33665101160938,128.12730060680704,633.4720846321385,0.8276877765504801,5.985043570371962,38477,9523,0.35,HistGB feature set C
ablation_G,G,primary,115.09826996195996,129.6948776112223,633.680215715834,0.8275745295037341,6.010494587998357,38477,9523,29.652,HistGB feature set G
ablation_F,F,primary,116.7424857451173,133.7571651030937,634.4325363692034,0.8271648709967104,6.010749221783987,38477,9523,31.71,HistGB feature set F
ablation_E,E,primary,114.78198067339098,134.63980062633226,638.344336562885,0.825026957826552,6.061770771292624,38477,9523,0.426,HistGB feature set E
ablation_D,D,primary,117.1962066271283,138.19145261395457,641.0411054336346,0.8235454421390852,6.23552804988344,38477,9523,0.349,HistGB feature set D
ablation_B,B,primary,151.17690471297817,139.39211029736603,638.1004718217113,0.8251606211261229,6.442266697081514,38477,9523,0.407,HistGB feature set B
ablation_A,A,primary,193.75449818492734,192.23865078096625,652.9294313471158,0.816939934277461,8.557024310149124,38477,9523,0.339,HistGB feature set A
