model,config_name,feature_set,target_transform,hyperparameters,primary_mae,primary_rmse,primary_r2,primary_mean_residual,primary_high_rate_mean_residual,long_haul_mae,top_1_percent_mae,rate_over_5000_mae,distance_over_2000_mae,long_haul_mean_residual,top_1_percent_mean_residual,rate_over_5000_mean_residual,primary_mae_0-300,primary_residual_0-300,primary_mean_actual_0-300,primary_mean_predicted_0-300,primary_mae_300-600,primary_residual_300-600,primary_mean_actual_300-600,primary_mean_predicted_300-600,primary_mae_600-1200,primary_residual_600-1200,primary_mean_actual_600-1200,primary_mean_predicted_600-1200,primary_mae_1200-2000,primary_residual_1200-2000,primary_mean_actual_1200-2000,primary_mean_predicted_1200-2000,primary_mae_2000+,primary_residual_2000+,primary_mean_actual_2000+,primary_mean_predicted_2000+,sensitivity_mae,sensitivity_rmse,sensitivity_r2,sensitivity_mean_residual,sensitivity_high_rate_mean_residual,training_time,stability_gap,combined_score
HistGradientBoostingRegressor,log1p_Q,Q,log1p,"{""learning_rate"": 0.08, ""max_depth"": 8, ""max_iter"": 300, ""random_state"": 42}",106.93412123344034,631.9004983468816,0.8285416977076373,46.54651224094179,3735.262292506526,190.04975318216407,3747.5632176303934,850.2033903529068,190.04975318216407,89.5783714198437,3735.262292506526,800.9998498923024,26.75499143824784,0.22193609295161015,551.829141025641,551.6072049326893,55.089570368441414,26.99147313300581,1092.5085185185185,1065.5170453855128,87.31826575312142,28.096801908781046,1930.1019643972518,1902.005162488471,154.74610279449078,79.12686411898493,3275.84811924382,3196.721255124835,190.04975318216407,89.5783714198437,4752.789119947849,4663.210748528005,113.86923812860171,650.1415154226066,0.819094075441412,44.90366785622571,3961.7307669683482,2.319,6.9351168951613715,110.40167968102102
HistGradientBoostingRegressor,log1p_FULL,FULL,log1p,"{""learning_rate"": 0.08, ""max_depth"": 8, ""max_iter"": 300, ""random_state"": 42}",118.82592862640394,636.6298947427955,0.8259655680549474,78.30326492088362,3830.872971618836,225.44079071789744,3831.694103648549,907.9989166363114,225.44079071789744,161.23049098273285,3830.872971618836,892.7333914060674,25.529489461915738,3.2968832984786,551.829141025641,548.5322577271625,58.100512697462975,36.44122315816006,1092.5085185185185,1056.0672953603585,95.73044086264476,57.351857632819964,1930.1019643972518,1872.7501067644316,167.89329871141013,116.96580889069156,3275.84811924382,3158.882310353128,225.44079071789744,161.23049098273285,4752.789119947849,4591.5586289651155,115.45413712129131,648.2970853596921,0.8201190677388939,23.228686018745382,3959.7035220848925,81.773,-3.3717915051126255,118.82592862640394
HistGradientBoostingRegressor,normal_Q,Q,normal,"{""learning_rate"": 0.08, ""max_depth"": 8, ""max_iter"": 300, ""random_state"": 42}",118.94773439232291,632.029615829459,0.8284716217187921,16.166425763480373,3664.605455324146,211.05579677582406,3731.8496736677807,881.4196922101848,211.05579677582406,34.88324663548535,3664.605455324146,709.7954265378207,38.67363564079502,-17.802044056087496,551.829141025641,569.6311850817286,62.75495846380864,12.864516946227676,1092.5085185185185,1079.6440015722908,94.50378547887689,1.425780731137097,1930.1019643972518,1928.6761836661149,171.70018720656773,41.08269303246229,3275.84811924382,3234.7654262113574,211.05579677582406,34.88324663548535,4752.789119947849,4717.905873312364,123.91312150627193,650.6393158192922,0.8188169372628903,13.747677346625842,3907.5614052138817,0.821,4.965387113949021,121.43042794929742
HistGradientBoostingRegressor,normal_C4,C4,normal,"{""learning_rate"": 0.08, ""max_depth"": 8, ""max_iter"": 300, ""random_state"": 42}",128.71412867379928,632.961556974235,0.8279654042772782,22.681946611499825,3703.8341130314548,228.6168817576479,3741.694102833489,901.5561470233539,228.6168817576479,66.79126578775306,3703.8341130314548,764.2563520113408,48.567901046920056,-30.63386290338581,551.829141025641,582.4630039290269,71.93251697757054,8.104562702251679,1092.5085185185185,1084.403955816267,104.69656559732971,1.2310260406105873,1930.1019643972518,1928.870938356641,175.51535234159675,57.07211519744458,3275.84811924382,3218.776004046375,228.6168817576479,66.79126578775306,4752.789119947849,4685.997854160096,129.254686006281,648.9771985805555,0.8197414520603121,23.879001884147854,3918.119680161441,0.702,0.5405573324817112,128.98440734004015
