model,config_name,feature_set,target_transform,hyperparameters,primary_mae,primary_rmse,primary_r2,primary_mean_residual,primary_high_rate_mean_residual,long_haul_mae,top_1_percent_mae,rate_over_5000_mae,distance_over_2000_mae,long_haul_mean_residual,top_1_percent_mean_residual,rate_over_5000_mean_residual,primary_mae_0-300,primary_residual_0-300,primary_mean_actual_0-300,primary_mean_predicted_0-300,primary_mae_300-600,primary_residual_300-600,primary_mean_actual_300-600,primary_mean_predicted_300-600,primary_mae_600-1200,primary_residual_600-1200,primary_mean_actual_600-1200,primary_mean_predicted_600-1200,primary_mae_1200-2000,primary_residual_1200-2000,primary_mean_actual_1200-2000,primary_mean_predicted_1200-2000,primary_mae_2000+,primary_residual_2000+,primary_mean_actual_2000+,primary_mean_predicted_2000+,sensitivity_mae,sensitivity_rmse,sensitivity_r2,sensitivity_mean_residual,sensitivity_high_rate_mean_residual,training_time,stability_gap,combined_score
HistGradientBoostingRegressor,log1p_Q_d8_l20.1,Q,log1p,"{""l2_regularization"": 0.1, ""learning_rate"": 0.08, ""max_depth"": 8, ""max_iter"": 300, ""random_state"": 42}",106.7320840673907,632.3067559695512,0.8283211609809146,46.3299736537846,3733.1347388105255,189.19197565023117,3745.648496640584,847.0322572550124,189.19197565023117,91.02457463084433,3733.1347388105255,799.3704178963571,26.81526165209439,-0.00570905369799197,551.829141025641,551.834850079339,54.93199910613236,26.837187662050738,1092.5085185185185,1065.6713308564679,87.42523723594783,27.14721104173276,1930.1019643972518,1902.954753355519,154.41096749677524,78.75726229399176,3275.84811924382,3197.090856949828,189.19197565023117,91.02457463084433,4752.789119947849,4661.764545317004,113.4050425691146,649.8169289796385,0.8192746667469671,45.78120720210449,3961.442805867545,0.849,6.6729585017238975,110.06856331825264
HistGradientBoostingRegressor,log1p_Q_d6_l20.1,Q,log1p,"{""l2_regularization"": 0.1, ""learning_rate"": 0.08, ""max_depth"": 6, ""max_iter"": 300, ""random_state"": 42}",106.83373075047808,631.9657287323862,0.8285062969809194,47.49226853411612,3735.3343670344925,188.52789542243028,3750.117449335898,848.7035610652359,188.52789542243028,94.11673764876222,3735.3343670344925,804.8478914727793,26.74001394847686,-0.22764575783706958,551.829141025641,552.0567867834782,55.20046721422284,26.25675303921959,1092.5085185185185,1066.251765479299,87.61681591190982,27.705358503902087,1930.1019643972518,1902.3966058933497,154.85209048211263,81.58782140114498,3275.84811924382,3194.260297842675,188.52789542243028,94.11673764876222,4752.789119947849,4658.672382299086,113.2880801456146,648.9504798990243,0.8197562944048573,44.30445656284056,3936.5854954054253,0.82,6.454349395136518,110.06090544804634
HistGradientBoostingRegressor,log1p_Q_d8_l20.0,Q,log1p,"{""l2_regularization"": 0.0, ""learning_rate"": 0.08, ""max_depth"": 8, ""max_iter"": 300, ""random_state"": 42}",106.93412123344034,631.9004983468816,0.8285416977076373,46.54651224094179,3735.262292506526,190.04975318216407,3747.5632176303934,850.2033903529068,190.04975318216407,89.5783714198437,3735.262292506526,800.9998498923024,26.75499143824784,0.22193609295161015,551.829141025641,551.6072049326893,55.089570368441414,26.99147313300581,1092.5085185185185,1065.5170453855128,87.31826575312142,28.096801908781046,1930.1019643972518,1902.005162488471,154.74610279449078,79.12686411898493,3275.84811924382,3196.721255124835,190.04975318216407,89.5783714198437,4752.789119947849,4663.210748528005,113.86923812860171,650.1415154226066,0.819094075441412,44.90366785622571,3961.7307669683482,0.849,6.9351168951613715,110.40167968102102
HistGradientBoostingRegressor,log1p_Q_d6_l20.0,Q,log1p,"{""l2_regularization"": 0.0, ""learning_rate"": 0.08, ""max_depth"": 6, ""max_iter"": 300, ""random_state"": 42}",107.17365982674005,632.0522722715689,0.8284593239013154,47.279318998454535,3738.8899896757007,187.96856501231488,3750.115262393994,847.9883407047975,187.96856501231488,91.93127694358388,3738.8899896757007,800.981819333801,26.5498329589578,-0.24594324532189552,551.829141025641,552.075084270963,55.26493413961814,26.859578242069617,1092.5085185185185,1065.648940276449,88.14091023306432,28.095434269069283,1930.1019643972518,1902.0065301281822,156.0348461267464,81.06331124092719,3275.84811924382,3194.7848080028925,187.96856501231488,91.93127694358388,4752.789119947849,4660.857843004264,113.51729451341369,649.5803551201889,0.8194062333619919,46.320208769362225,3953.1656373036853,0.792,6.343634686673639,110.34547717007686
HistGradientBoostingRegressor,log1p_Q_d5_l20.1,Q,log1p,"{""l2_regularization"": 0.1, ""learning_rate"": 0.08, ""max_depth"": 5, ""max_iter"": 300, ""random_state"": 42}",107.87310755500906,632.1673248080306,0.8283968670854863,48.02799335499188,3718.851940006725,189.87426837217419,3738.811205618806,848.8754267436358,189.87426837217419,92.7020701599076,3718.851940006725,805.2316680435198,26.767744206264705,-0.2364585516640732,551.829141025641,552.0655995773052,55.073793363660975,27.132775183163034,1092.5085185185185,1065.3757433353555,89.08839062617263,29.514674467539045,1930.1019643972518,1900.5872899297128,156.47365680978572,81.48227831481259,3275.84811924382,3194.365840929007,189.87426837217419,92.7020701599076,4752.789119947849,4660.087049787941,115.58363691587861,650.060576296799,0.8191391162689605,46.36315510644607,3945.0054659161947,0.75,7.7105293608695575,111.72837223544383
HistGradientBoostingRegressor,log1p_Q_d5_l20.0,Q,log1p,"{""l2_regularization"": 0.0, ""learning_rate"": 0.08, ""max_depth"": 5, ""max_iter"": 300, ""random_state"": 42}",108.13545250118513,632.35161591753,0.8282968000930635,48.4874590323282,3724.4186080649774,191.39195053889972,3744.112144344935,848.8536073720405,191.39195053889972,93.16827153811666,3724.4186080649774,804.415071722028,27.070098742378693,-0.3053329549755966,551.829141025641,552.1344739806167,55.68355407467956,26.826471727826583,1092.5085185185185,1065.6820467906919,88.7942869602039,29.694043525547293,1930.1019643972518,1900.4079208717042,156.32372712327125,83.29283331196035,3275.84811924382,3192.5552859318595,191.39195053889972,93.16827153811666,4752.789119947849,4659.620848409732,115.3885207829423,649.4456166343728,0.8194811445161155,45.4491470754427,3931.8773323671953,0.74,7.253068281757166,111.7619866420637
