config_name,validation_split,overall_mae,top_1_percent_count,top_1_percent_mae,top_1_percent_mean_residual,top_1_percent_median_residual,top_1_percent_mean_actual,top_1_percent_mean_predicted,rate_over_5000_count,rate_over_5000_mae,rate_over_5000_mean_residual,rate_over_5000_median_residual,rate_over_5000_mean_actual,rate_over_5000_mean_predicted,distance_over_2000_count,distance_over_2000_mae,distance_over_2000_mean_residual,distance_over_2000_median_residual,distance_over_2000_mean_actual,distance_over_2000_mean_predicted,long_haul_2000plus_count,long_haul_2000plus_mae,long_haul_2000plus_mean_residual,long_haul_2000plus_median_residual,long_haul_2000plus_mean_actual,long_haul_2000plus_mean_predicted
log1p_Q,primary,106.93412123344034,96,3747.5632176303934,3735.262292506526,377.3116177776892,8622.1428125,4886.880519993473,508,850.2033903529068,800.9998498923024,100.34737012865571,6032.832381889764,5231.832531997461,1534,190.04975318216407,89.5783714198437,40.151305747291644,4752.789119947849,4663.210748528005,1534,190.04975318216407,89.5783714198437,40.151305747291644,4752.789119947849,4663.210748528005
log1p_Q,sensitivity,113.86923812860171,49,3986.2706088935115,3961.7307669683482,488.52897847180157,8743.31693877551,4781.586171807161,258,892.7569058953738,830.348241827551,56.399925260498094,6035.93984496124,5205.591603133689,769,215.48858104655926,79.2648650128445,9.995865923777274,4756.820260078023,4677.555395065179,769,215.48858104655926,79.2648650128445,9.995865923777274,4756.820260078023,4677.555395065179
log1p_FULL,primary,118.82592862640394,96,3831.694103648549,3830.872971618836,522.0793739880623,8622.1428125,4791.269840881164,508,907.9989166363114,892.7333914060674,183.7596127644997,6032.832381889764,5140.098990483695,1534,225.44079071789744,161.23049098273285,104.23538862005171,4752.789119947849,4591.5586289651155,1534,225.44079071789744,161.23049098273285,104.23538862005171,4752.789119947849,4591.5586289651155
log1p_FULL,sensitivity,115.45413712129131,49,3964.009685326643,3959.7035220848925,528.2584705632826,8743.31693877551,4783.613416690617,258,890.7146316298473,813.6745518856334,51.76141926894525,6035.93984496124,5222.265293075607,769,220.93098295565315,44.18430800317572,-25.100827240219587,4756.820260078023,4712.635952074847,769,220.93098295565315,44.18430800317572,-25.100827240219587,4756.820260078023,4712.635952074847
normal_Q,primary,118.94773439232291,96,3731.8496736677807,3664.605455324146,409.18642438047937,8622.1428125,4957.537357175854,508,881.4196922101848,709.7954265378207,37.69342292197098,6032.832381889764,5323.036955351943,1534,211.05579677582406,34.88324663548535,5.757169503343903,4752.789119947849,4717.905873312364,1534,211.05579677582406,34.88324663548535,5.757169503343903,4752.789119947849,4717.905873312364
normal_Q,sensitivity,123.91312150627193,49,3955.1828410503067,3907.5614052138817,481.3792466877194,8743.31693877551,4835.755533561628,258,905.9844132790122,777.0787688979348,40.54992522471275,6035.93984496124,5258.8610760633055,769,233.72266063320967,27.163971851364376,-20.617364441640348,4756.820260078023,4729.65628822666,769,233.72266063320967,27.163971851364376,-20.617364441640348,4756.820260078023,4729.65628822666
normal_C4,primary,128.71412867379928,96,3741.694102833489,3703.8341130314548,445.83738353076615,8622.1428125,4918.3086994685455,508,901.5561470233539,764.2563520113408,100.82128287148498,6032.832381889764,5268.5760298784235,1534,228.6168817576479,66.79126578775306,24.735744952814684,4752.789119947849,4685.997854160096,1534,228.6168817576479,66.79126578775306,24.735744952814684,4752.789119947849,4685.997854160096
normal_C4,sensitivity,129.254686006281,49,3955.1444338678075,3918.119680161441,602.3284578533503,8743.31693877551,4825.197258614069,258,934.1544363169481,781.2581411362991,52.641377552486574,6035.93984496124,5254.681703824942,769,255.03372568856608,56.02500959949279,12.127146824212105,4756.820260078023,4700.79525047853,769,255.03372568856608,56.02500959949279,12.127146824212105,4756.820260078023,4700.79525047853
log1p_Q_d6_l20.1,primary,106.83373075047808,96,3750.117449335898,3735.3343670344925,400.19252316770144,8622.1428125,4886.808445465507,508,848.7035610652359,804.8478914727793,90.29708196201,6032.832381889764,5227.984490416984,1534,188.52789542243028,94.11673764876222,43.47013959159244,4752.789119947849,4658.672382299086,1534,188.52789542243028,94.11673764876222,43.47013959159244,4752.789119947849,4658.672382299086
log1p_Q_d6_l20.1,sensitivity,113.2880801456146,49,3972.5277500547822,3936.5854954054253,482.6239194268501,8743.31693877551,4806.731443370084,258,888.4539748291153,825.7852807955128,46.45210025364577,6035.93984496124,5210.154564165728,769,213.38218145074734,75.26582188903359,7.172553130513734,4756.820260078023,4681.55443818899,769,213.38218145074734,75.26582188903359,7.172553130513734,4756.820260078023,4681.55443818899
log1p_Q_d8_l20.1,primary,106.7320840673907,96,3745.648496640584,3733.1347388105255,405.49007415916867,8622.1428125,4889.008073689475,508,847.0322572550124,799.3704178963571,82.84276835439005,6032.832381889764,5233.461963993406,1534,189.19197565023117,91.02457463084433,41.28496193070032,4752.789119947849,4661.764545317004,1534,189.19197565023117,91.02457463084433,41.28496193070032,4752.789119947849,4661.764545317004
log1p_Q_d8_l20.1,sensitivity,113.4050425691146,49,3984.2138993138014,3961.442805867545,501.50178077672626,8743.31693877551,4781.874132907966,258,893.5010545609337,833.0697154612441,57.1243322867017,6035.93984496124,5202.870129499996,769,215.08846385116743,78.92703224596985,8.945130621884346,4756.820260078023,4677.8932278320535,769,215.08846385116743,78.92703224596985,8.945130621884346,4756.820260078023,4677.8932278320535
